Call Type,Neighborhooods - Analysis Boundaries,Avg. Response Time(mins)
Traffic Collision,Western Addition,7.088888889
Structure Fire,Western Addition,5.429761905
Alarms,Western Addition,6.397740113
Medical Incident,Western Addition,9.679432624
Traffic Collision,West of Twin Peaks,12.951388889
Structure Fire,West of Twin Peaks,8.889772727
Alarms,West of Twin Peaks,7.767231638
Medical Incident,West of Twin Peaks,10.145953142
Traffic Collision,Twin Peaks,6.9875
Structure Fire,Twin Peaks,7.383333333
Alarms,Twin Peaks,7.659803922
Medical Incident,Twin Peaks,10.840811966
Traffic Collision,Treasure Island,26.127083333
Structure Fire,Treasure Island,3.609722222
Alarms,Treasure Island,7.01
Medical Incident,Treasure Island,10.415372168
Traffic Collision,Tenderloin,7.467129630
Structure Fire,Tenderloin,5.662536873
Alarms,Tenderloin,6.424867725
Medical Incident,Tenderloin,9.270276274
Traffic Collision,Sunset/Parkside,10.735632184
Structure Fire,Sunset/Parkside,7.442261905
Alarms,Sunset/Parkside,8.367901235
Medical Incident,Sunset/Parkside,10.592373821
Traffic Collision,South of Market,7.567521368
Structure Fire,South of Market,5.295441595
Alarms,South of Market,5.893543544
Medical Incident,South of Market,9.915557648
Traffic Collision,Russian Hill,8.1
Structure Fire,Russian Hill,5.733333333
Alarms,Russian Hill,7.415090090
Medical Incident,Russian Hill,9.671675302
Traffic Collision,Presidio Heights,8.322222222
Structure Fire,Presidio Heights,5.775
Alarms,Presidio Heights,5.998958333
Medical Incident,Presidio Heights,7.782911392
Traffic Collision,Presidio,10.37
Structure Fire,Presidio,7.81875
Alarms,Presidio,8.323809524
Medical Incident,Presidio,9.782352941
Traffic Collision,Potrero Hill,12.321428571
Structure Fire,Potrero Hill,9.300877193
Alarms,Potrero Hill,7.373493976
Medical Incident,Potrero Hill,8.915817901
Traffic Collision,Portola,12.972549020
Structure Fire,Portola,5.241666667
Alarms,Portola,4.883333333
Medical Incident,Portola,10.329629630
Traffic Collision,Pacific Heights,5.380555556
Structure Fire,Pacific Heights,5.953900709
Alarms,Pacific Heights,5.901884058
Medical Incident,Pacific Heights,8.425207297
Traffic Collision,Outer Richmond,5.934375
Structure Fire,Outer Richmond,6.301709402
Alarms,Outer Richmond,6.452941176
Medical Incident,Outer Richmond,10.073698630
Traffic Collision,Outer Mission,11.744202899
Structure Fire,Outer Mission,34.136
Alarms,Outer Mission,6.425641026
Medical Incident,Outer Mission,9.940703518
Traffic Collision,Oceanview/Merced/Ingleside,10.255
Structure Fire,Oceanview/Merced/Ingleside,8.613829787
Alarms,Oceanview/Merced/Ingleside,7.168518519
Medical Incident,Oceanview/Merced/Ingleside,10.088858195
Traffic Collision,North Beach,12.573333333
Structure Fire,North Beach,3.05
Alarms,North Beach,7.181
Medical Incident,North Beach,9.801754386
Traffic Collision,Noe Valley,7.175
Structure Fire,Noe Valley,5.13125
Alarms,Noe Valley,6.286666667
Medical Incident,Noe Valley,8.466516517
Traffic Collision,Nob Hill,4.59
Structure Fire,Nob Hill,3.934420290
Alarms,Nob Hill,5.930894309
Medical Incident,Nob Hill,9.166622807
Traffic Collision,Mission,5.933333333
Structure Fire,Mission,5.634415584
Alarms,Mission,6.732539683
Medical Incident,Mission,8.933369022
Traffic Collision,Marina,7.279166667
Structure Fire,Marina,6.211842105
Alarms,Marina,7.351476793
Medical Incident,Marina,11.185284553
Traffic Collision,Lakeshore,9.875
Structure Fire,Lakeshore,10.770370370
Alarms,Lakeshore,6.335593220
Medical Incident,Lakeshore,11.287096774
Traffic Collision,Inner Sunset,5.4875
Structure Fire,Inner Sunset,9.674242424
Alarms,Inner Sunset,6.943181818
Medical Incident,Inner Sunset,9.432812500
Traffic Collision,Inner Richmond,11.895454545
Structure Fire,Inner Richmond,7.616666667
Alarms,Inner Richmond,7.605882353
Medical Incident,Inner Richmond,9.371688034
Traffic Collision,Hayes Valley,7.870689655
Structure Fire,Hayes Valley,4.843495935
Alarms,Hayes Valley,6.584013605
Medical Incident,Hayes Valley,8.578998779
Traffic Collision,Haight Ashbury,3.681818182
Structure Fire,Haight Ashbury,5.459920635
Alarms,Haight Ashbury,6.255902778
Medical Incident,Haight Ashbury,8.637962963
Traffic Collision,Golden Gate Park,9.633333333
Structure Fire,Golden Gate Park,4.466666667
Alarms,Golden Gate Park,6.880555556
Medical Incident,Golden Gate Park,8.992473118
Traffic Collision,Glen Park,7.4
Structure Fire,Glen Park,6.373611111
Alarms,Glen Park,7.085897436
Medical Incident,Glen Park,8.940449438
Traffic Collision,Financial District/South Beach,10.035964912
Structure Fire,Financial District/South Beach,6.151149425
Alarms,Financial District/South Beach,7.069444444
Medical Incident,Financial District/South Beach,10.547667062
Traffic Collision,Excelsior,8.701282051
Structure Fire,Excelsior,4.86
Alarms,Excelsior,6.481372549
Medical Incident,Excelsior,10.284298908
Traffic Collision,Chinatown,4.361111111
Structure Fire,Chinatown,6.953703704
Alarms,Chinatown,6.634090909
Medical Incident,Chinatown,10.364265537
Traffic Collision,Castro/Upper Market,4.12
Structure Fire,Castro/Upper Market,3.916666667
Alarms,Castro/Upper Market,6.819767442
Medical Incident,Castro/Upper Market,9.669726776
Traffic Collision,Bernal Heights,7.937121212
Structure Fire,Bernal Heights,7.026811594
Alarms,Bernal Heights,7.228846154
Medical Incident,Bernal Heights,11.190501792
Traffic Collision,Bayview Hunters Point,10.47875
Structure Fire,Bayview Hunters Point,9.15
Alarms,Bayview Hunters Point,7.702579365
Medical Incident,Bayview Hunters Point,10.304486285
